datas,respostas
2018-08-26,21.0
2018-08-27,11.0
2018-08-29,17.0
2018-08-30,18.0
2018-08-31,15.0
2018-09-01,17.0
2018-09-02,19.0
2018-09-03,19.0
2018-09-05,13.0
2018-09-06,10.0
2018-09-07,14.0
2018-09-08,17.0
2018-09-09,15.0
2018-09-10,20.0
2018-09-12,17.0
2018-09-13,18.0
2018-09-14,16.0
2018-09-15,15.0
2018-09-16,18.0
2018-09-17,16.0
2018-09-19,17.0
2018-09-20,17.0
2018-09-22,15.0
2018-09-23,15.0
2018-09-24,16.0
2018-09-26,15.0
2018-09-27,16.0
2018-09-28,14.0
2018-09-29,16.0
2018-09-30,16.0
